courseId|name|point
11934|K-MOOC:빅데이터와인공지능마케팅|3.0
257|고급회계|3.0
6697|생명보험|3.0
7613|경영시뮬레이션|3.0
200|경제학원론|3.0
78|거시경제학|3.0
182|경제통계|3.0
193|경제학설사|3.0
10815|경제실무영어|3.0
649|국제금융론|3.0
1552|산업조직론|3.0
7988|게임이론|3.0
11388|응용계량경제학|3.0
10455|물류유통경제론|3.0
11291|자산관리경제학|3.0
11836|경제학세미나2|3.0
11618|Hospitality경영원론|3.0
11753|회계원리|3.0
309|관광경영론|3.0
9770|호텔관광경영통계원론|3.0
9890|호텔관광조직인적자원관리론|3.0
3875|호텔관광재무회계|3.0
6358|여가사회학|3.0
6609|서비스경영론|3.0
388|관광행동론|3.0
6858|서비스마케팅|3.0
7505|리조트경영론|3.0
7763|크루즈경영론|3.0
8239|관광교과교재연구및지도법|3.0
8324|관광논리및논술|3.0
9623|호텔관광경제학|3.0
9637|호텔관광전략경영론|3.0
9896|국제회의및이벤트기획|3.0
10686|HTM 호스피탈리티스마트서비스|3.0
10687|HTM 데이터마이닝|3.0
P00048|현장실습12|12.0
331|관광법규|3.0
9615|국제호텔관광세미나|3.0
9628|호텔관광수익관리|3.0
11202|TPDM AI for Business|3.0
1948|식품학|3.0
8455|기초서양조리실습|3.0
9519|외식서비스마케팅|3.0
9764|바리스타및음료실습1|3.0
10683|SFM 외식서비스앱설계|3.0
9528|외식전략경영|3.0
5201|제과제빵실습|3.0
5596|식품위생관리|3.0
6128|메뉴계획과디자인|3.0
7411|동양조리실습|3.0
7531|식음료원가관리론|3.0
8457|와인개론|3.0
10685|SFM 스마트FM캡스톤디자인|3.0
11974|외식빅데이터애널리틱스|3.0
6423|Hospitality산업의이해|3.0
8469|글로벌식생활문화|3.0
9390|호텔외식경영실무2|3.0
9120|HRT서비스경영론|3.0
9121|HRT프랜차이즈관련법규|3.0
9398|호텔외식경영실무4|3.0
10191|연회기획및케이터링경영론|3.0
11540|급식경영|3.0
